x-axis,1,2,3
second,Volt,Volt,Volt
+3.0300E-03,+2.1625000E+00,+2.1562500E+00,+2.1624999E+00
+3.0400E-03,+2.1937500E+00,+2.1875000E+00,+2.2249999E+00
+3.0500E-03,+2.2250000E+00,+2.1875000E+00,+2.2249999E+00
+3.0600E-03,+2.2250000E+00,+2.2187500E+00,+2.2562499E+00
+3.0700E-03,+2.2250000E+00,+2.2187500E+00,+2.2562499E+00
+3.0800E-03,+2.1937500E+00,+2.2500000E+00,+2.2562499E+00
+3.0900E-03,+2.2562500E+00,+2.2500000E+00,+2.3187499E+00
+3.1000E-03,+2.2562500E+00,+2.2812500E+00,+2.3187499E+00
+3.1100E-03,+2.2875000E+00,+2.3125000E+00,+2.3187499E+00
+3.1200E-03,+2.2562500E+00,+2.3125000E+00,+2.3187499E+00
+3.1300E-03,+2.3187500E+00,+2.3125000E+00,+2.2874999E+00
+3.1400E-03,+2.2875000E+00,+2.3125000E+00,+2.3187499E+00
+3.1500E-03,+2.3187500E+00,+2.3125000E+00,+2.3499999E+00
+3.1600E-03,+2.3500000E+00,+2.3125000E+00,+2.3499999E+00
+3.1700E-03,+2.3500000E+00,+2.3125000E+00,+2.3499999E+00
+3.1800E-03,+2.3500000E+00,+2.3437500E+00,+2.3499999E+00
+3.1900E-03,+2.3500000E+00,+2.3750000E+00,+2.4124999E+00
+3.2000E-03,+2.3500000E+00,+2.3750000E+00,+2.4124999E+00
+3.2100E-03,+2.4437500E+00,+2.3750000E+00,+2.3812499E+00
+3.2200E-03,+2.4125000E+00,+2.3750000E+00,+2.4124999E+00
+3.2300E-03,+2.4125000E+00,+2.4062500E+00,+2.4437499E+00
+3.2400E-03,+2.4437500E+00,+2.4062500E+00,+2.4124999E+00
+3.2500E-03,+2.4125000E+00,+2.4375000E+00,+2.4437499E+00
+3.2600E-03,+2.4437500E+00,+2.4375000E+00,+2.4749999E+00
+3.2700E-03,+2.4437500E+00,+2.4687500E+00,+2.4437499E+00
+3.2800E-03,+2.4437500E+00,+2.4687500E+00,+2.5062499E+00
+3.2900E-03,+2.4750000E+00,+2.4687500E+00,+2.5062499E+00
+3.3000E-03,+2.5062500E+00,+2.5000000E+00,+2.5374999E+00
+3.3100E-03,+2.4750000E+00,+2.5000000E+00,+2.5374999E+00
+3.3200E-03,+2.5062500E+00,+2.5312500E+00,+2.5374999E+00
+3.3300E-03,+2.4750000E+00,+2.5000000E+00,+2.5374999E+00
+3.3400E-03,+2.4750000E+00,+2.5000000E+00,+2.5687499E+00
+3.3500E-03,+2.5062500E+00,+2.5000000E+00,+2.5374999E+00
+3.3600E-03,+2.5062500E+00,+2.5625000E+00,+2.5687499E+00
+3.3700E-03,+2.5375000E+00,+2.5312500E+00,+2.5374999E+00
+3.3800E-03,+2.5375000E+00,+2.5312500E+00,+2.5687499E+00
+3.3900E-03,+2.5687500E+00,+2.5625000E+00,+2.5687499E+00
+3.4000E-03,+2.5375000E+00,+2.5625000E+00,+2.5999999E+00
+3.4100E-03,+2.5687500E+00,+2.5625000E+00,+2.5999999E+00
+3.4200E-03,+2.5375000E+00,+2.5937500E+00,+2.5999999E+00
+3.4300E-03,+2.5687500E+00,+2.5625000E+00,+2.5687499E+00
+3.4400E-03,+2.5375000E+00,+2.5625000E+00,+2.5999999E+00
+3.4500E-03,+2.4750000E+00,+2.5312500E+00,+2.5687499E+00
+3.4600E-03,+2.5062500E+00,+2.5625000E+00,+2.5687499E+00
+3.4700E-03,+2.5062500E+00,+2.5625000E+00,+2.5999999E+00
+3.4800E-03,+2.5062500E+00,+2.5312500E+00,+2.5687499E+00
+3.4900E-03,+2.5062500E+00,+2.5625000E+00,+2.5687499E+00
+3.5000E-03,+2.4750000E+00,+2.5312500E+00,+2.5374999E+00
+3.5100E-03,+2.4750000E+00,+2.5000000E+00,+2.5062499E+00
+3.5200E-03,+2.4750000E+00,+2.5312500E+00,+2.5374999E+00
+3.5300E-03,+2.4437500E+00,+2.5000000E+00,+2.5062499E+00
+3.5400E-03,+2.4125000E+00,+2.5000000E+00,+2.5062499E+00
+3.5500E-03,+2.3812500E+00,+2.4687500E+00,+2.4437499E+00
+3.5600E-03,+2.3812500E+00,+2.4375000E+00,+2.4437499E+00
